"city","date","newCases","casesTminus1","casesTminus2","drivingMinus7","transitMinus7","walkingMinus7","drivingMinus8","transitMinus8","walkingMinus8","drivingMinus9","transitMinus9","walkingMinus9","drivingMinus10","transitMinus10","walkingMinus10","drivingMinus11","transitMinus11","walkingMinus11","drivingMinus12","transitMinus12","walkingMinus12","drivingMinus13","transitMinus13","walkingMinus13","drivingMinus14","transitMinus14","walkingMinus14","driving","walking","transit","anomalousWeekend","longWeekend","weekend","sumDrivingMinus7_14","sumTransitMinus7_14","sumWalkingMinus7_14","Population","LandAreakm","Poverty.rate","Median.age","Median.household.income"
"Albuquerque",2020-03-01,0.5,0.5,0.5,10.63,4.82,-2.09,8.61,1.18,11.64,11.38,11.47,1.44,10,19.53,10.96,4.87,3.02,2.22,7.53,4.45,8.9,9.69,12.16,17.65,21.58,12.38,21.86,19.75,7.8,-1.43,0,0,1,12.0414285714286,9.85857142857143,10.3685714285714,915927,NA,NA,NA,NA
"Albuquerque",2020-03-02,0.5,0.5,0.5,17.33,7.39,14.1,10.63,4.82,-2.09,8.61,1.18,11.64,11.38,11.47,1.44,10,19.53,10.96,4.87,3.02,2.22,7.53,4.45,8.9,9.69,12.16,17.65,11.94,15.76,5.46,0,0,0,11.4342857142857,9.14571428571429,9.26,915927,NA,NA,NA,NA
"Albuquerque",2020-03-03,0.5,0.5,0.5,8.43,-16.17,0.84,17.33,7.39,14.1,10.63,4.82,-2.09,8.61,1.18,11.64,11.38,11.47,1.44,10,19.53,10.96,4.87,3.02,2.22,7.53,4.45,8.9,13.82,15.1,0,0,0,0,11.2542857142857,5.09857142857143,6.85857142857143,915927,NA,NA,NA,NA
"Albuquerque",2020-03-04,0.5,0.5,0.5,10,2.54,4.02,8.43,-16.17,0.84,17.33,7.39,14.1,10.63,4.82,-2.09,8.61,1.18,11.64,11.38,11.47,1.44,10,19.53,10.96,4.87,3.02,2.22,8.62,5.41,0.32,0,0,0,11.6071428571429,4.82571428571429,6.16142857142857,915927,NA,NA,NA,NA
"Albuquerque",2020-03-05,0.5,0.5,0.5,13.26,9.04,12.07,10,2.54,4.02,8.43,-16.17,0.84,17.33,7.39,14.1,10.63,4.82,-2.09,8.61,1.18,11.64,11.38,11.47,1.44,10,19.53,10.96,13.86,14.15,19.43,0,0,0,12.8057142857143,5.68571428571429,7.56857142857143,915927,NA,NA,NA,NA
"Albuquerque",2020-03-06,0.5,0.5,0.5,12.6,1.08,10.57,13.26,9.04,12.07,10,2.54,4.02,8.43,-16.17,0.84,17.33,7.39,14.1,10.63,4.82,-2.09,8.61,1.18,11.64,11.38,11.47,1.44,14.57,16.44,18.54,0,0,0,13.1771428571429,3.05,7.51285714285714,915927,NA,NA,NA,NA
"Albuquerque",2020-03-07,0.5,0.5,0.5,23.52,8.72,25.47,12.6,1.08,10.57,13.26,9.04,12.07,10,2.54,4.02,8.43,-16.17,0.84,17.33,7.39,14.1,10.63,4.82,-2.09,8.61,1.18,11.64,14.17,20.25,15.73,0,0,1,14.9114285714286,2.65714285714286,10.9457142857143,915927,NA,NA,NA,NA
"Albuquerque",2020-03-08,0.5,0.5,0.5,19.75,-1.43,7.8,23.52,8.72,25.47,12.6,1.08,10.57,13.26,9.04,12.07,10,2.54,4.02,8.43,-16.17,0.84,17.33,7.39,14.1,10.63,4.82,-2.09,13.09,5.4,9.98,0,0,1,16.5028571428571,2.28428571428571,10.3971428571429,915927,NA,NA,NA,NA
"Albuquerque",2020-03-09,0.5,0.5,0.5,11.94,5.46,15.76,19.75,-1.43,7.8,23.52,8.72,25.47,12.6,1.08,10.57,13.26,9.04,12.07,10,2.54,4.02,8.43,-16.17,0.84,17.33,7.39,14.1,15.97,16.25,14.71,0,0,0,16.69,2.37571428571429,12.9471428571429,915927,NA,NA,NA,NA
"Albuquerque",2020-03-10,0.5,0.5,0.5,13.82,0,15.1,11.94,5.46,15.76,19.75,-1.43,7.8,23.52,8.72,25.47,12.6,1.08,10.57,13.26,9.04,12.07,10,2.54,4.02,8.43,-16.17,0.84,20.44,18.44,12.91,0,0,0,16.1885714285714,1.32,13.09,915927,NA,NA,NA,NA
