"","City","date","newCases","casesTminus1","casesTminus2","g_retail","g_grocery","g_parks","g_transit","g_workplaces","g_residential","g_retailMinus7","g_groceryMinus7","g_parksMinus7","g_transitMinus7","g_workplacesMinus7","g_residentialMinus7","g_retailMinus8","g_groceryMinus8","g_parksMinus8","g_transitMinus8","g_workplacesMinus8","g_residentialMinus8","g_retailMinus9","g_groceryMinus9","g_parksMinus9","g_transitMinus9","g_workplacesMinus9","g_residentialMinus9","g_retailMinus10","g_groceryMinus10","g_parksMinus10","g_transitMinus10","g_workplacesMinus10","g_residentialMinus10","g_retailMinus11","g_groceryMinus11","g_parksMinus11","g_transitMinus11","g_workplacesMinus11","g_residentialMinus11","g_retailMinus12","g_groceryMinus12","g_parksMinus12","g_transitMinus12","g_workplacesMinus12","g_residentialMinus12","g_retailMinus13","g_groceryMinus13","g_parksMinus13","g_transitMinus13","g_workplacesMinus13","g_residentialMinus13","g_retailMinus14","g_groceryMinus14","g_parksMinus14","g_transitMinus14","g_workplacesMinus14","g_residentialMinus14","a_drivingMinus7","a_transitMinus7","a_walkingMinus7","a_drivingMinus8","a_transitMinus8","a_walkingMinus8","a_drivingMinus9","a_transitMinus9","a_walkingMinus9","a_drivingMinus10","a_transitMinus10","a_walkingMinus10","a_drivingMinus11","a_transitMinus11","a_walkingMinus11","a_drivingMinus12","a_transitMinus12","a_walkingMinus12","a_drivingMinus13","a_transitMinus13","a_walkingMinus13","a_drivingMinus14","a_transitMinus14","a_walkingMinus14","a_driving","a_walking","a_transit","anomalousWeekend","longWeekend","weekend","sumDrivingMinus7_14","sumTransitMinus7_14","sumWalkingMinus7_14","Population","LandAreakm","Poverty.rate","Median.age","Median.household.income"
"1","London",2020-03-01,4,1,3,9,4,24,5,1,-1,-1,-3,-9,1,-1,0,-4,-3,-7,-2,-1,0,3,-1,10,-5,-14,3,2,-4,-4,-6,-13,3,3,-3,3,-5,-13,3,4,-2,11,-4,-13,2,11,4,28,-3,-13,2,-9,-11,-41,-9,-4,1,4.7,5.85,0.46,5.24,9,5.62,9.4,11.57,12.06,11.62,11.24,7.12,10.94,12.64,10.24,13.65,13.92,14.51,17.7,19.14,24.16,4,10.97,-7.6,5.7,5.13,3.83,0,0,1,11.0357142857143,13.4757142857143,9.51,8787892,1572,0.28,35.3,56273.38129
"2","London",2020-03-02,12,4,1,2,6,15,-3,1,0,-3,0,-1,-3,-1,1,-1,-3,-9,1,-1,0,-4,-3,-7,-2,-1,0,3,-1,10,-5,-14,3,2,-4,-4,-6,-13,3,3,-3,3,-5,-13,3,4,-2,11,-4,-13,2,11,4,28,-3,-13,2,3.34,3.8,-1.28,4.7,5.85,0.46,5.24,9,5.62,9.4,11.57,12.06,11.62,11.24,7.12,10.94,12.64,10.24,13.65,13.92,14.51,17.7,19.14,24.16,0.17,-1.92,-0.93,0,0,0,10.9414285714286,12.4514285714286,10.4128571428571,8787892,1572,0.28,35.3,56273.38129
"3","London",2020-03-03,6,12,4,-1,2,3,-4,1,0,-1,2,5,0,1,0,-3,0,-1,-3,-1,1,-1,-3,-9,1,-1,0,-4,-3,-7,-2,-1,0,3,-1,10,-5,-14,3,2,-4,-4,-6,-13,3,3,-3,3,-5,-13,3,4,-2,11,-4,-13,2,2.62,2.1,4.22,3.34,3.8,-1.28,4.7,5.85,0.46,5.24,9,5.62,9.4,11.57,12.06,11.62,11.24,7.12,10.94,12.64,10.24,13.65,13.92,14.51,1.86,-0.3,-1.63,0,0,0,8.78714285714286,10.0171428571429,7.56428571428571,8787892,1572,0.28,35.3,56273.38129
"4","London",2020-03-04,18,6,12,-3,1,-7,-4,0,1,-2,0,11,-2,1,0,-1,2,5,0,1,0,-3,0,-1,-3,-1,1,-1,-3,-9,1,-1,0,-4,-3,-7,-2,-1,0,3,-1,10,-5,-14,3,2,-4,-4,-6,-13,3,3,-3,3,-5,-13,3,0.33,-0.82,0.25,2.62,2.1,4.22,3.34,3.8,-1.28,4.7,5.85,0.46,5.24,9,5.62,9.4,11.57,12.06,11.62,11.24,7.12,10.94,12.64,10.24,1.06,-8.46,-3.74,0,0,0,6.88428571428571,7.91142857142857,5.52714285714286,8787892,1572,0.28,35.3,56273.38129
"5","London",2020-03-05,14,18,6,-9,-5,-21,-6,-1,2,0,-1,4,-1,0,1,-2,0,11,-2,1,0,-1,2,5,0,1,0,-3,0,-1,-3,-1,1,-1,-3,-9,1,-1,0,-4,-3,-7,-2,-1,0,3,-1,10,-5,-14,3,2,-4,-4,-6,-13,3,0.82,-0.39,-2.46,0.33,-0.82,0.25,2.62,2.1,4.22,3.34,3.8,-1.28,4.7,5.85,0.46,5.24,9,5.62,9.4,11.57,12.06,11.62,11.24,7.12,2.26,-16.15,-4.24,0,0,0,5.43857142857143,6.05,3.71285714285714,8787892,1572,0.28,35.3,56273.38129
"6","London",2020-03-06,23,14,18,1,8,14,-3,0,1,-2,-1,-9,-2,0,1,0,-1,4,-1,0,1,-2,0,11,-2,1,0,-1,2,5,0,1,0,-3,0,-1,-3,-1,1,-1,-3,-9,1,-1,0,-4,-3,-7,-2,-1,0,3,-1,10,-5,-14,3,4.8,1.96,-2.64,0.82,-0.39,-2.46,0.33,-0.82,0.25,2.62,2.1,4.22,3.34,3.8,-1.28,4.7,5.85,0.46,5.24,9,5.62,9.4,11.57,12.06,3.49,3.43,-1.07,0,0,0,4.46428571428571,4.72428571428571,2.31857142857143,8787892,1572,0.28,35.3,56273.38129
"7","London",2020-03-07,14,23,14,-2,3,-6,-4,1,0,-2,0,-21,-5,0,1,-2,-1,-9,-2,0,1,0,-1,4,-1,0,1,-2,0,11,-2,1,0,-1,2,5,0,1,0,-3,0,-1,-3,-1,1,-1,-3,-9,1,-1,0,-4,-3,-7,-2,-1,0,4.68,-0.34,-4.5,4.8,1.96,-2.64,0.82,-0.39,-2.46,0.33,-0.82,0.25,2.62,2.1,4.22,3.34,3.8,-1.28,4.7,5.85,0.46,5.24,9,5.62,2.9,3.68,-1.65,0,0,1,3.79,3.02285714285714,-0.0471428571428572,8787892,1572,0.28,35.3,56273.38129
"8","London",2020-03-08,22,14,23,-1,3,-2,-4,0,0,9,4,24,5,1,-1,-2,0,-21,-5,0,1,-2,-1,-9,-2,0,1,0,-1,4,-1,0,1,-2,0,11,-2,1,0,-1,2,5,0,1,0,-3,0,-1,-3,-1,1,-1,-3,-9,1,-1,0,5.7,3.83,5.13,4.68,-0.34,-4.5,4.8,1.96,-2.64,0.82,-0.39,-2.46,0.33,-0.82,0.25,2.62,2.1,4.22,3.34,3.8,-1.28,4.7,5.85,0.46,-1.53,-6.8,-4.04,0,0,1,3.85571428571429,2.28428571428571,-0.117142857142857,8787892,1572,0.28,35.3,56273.38129
"9","London",2020-03-09,53,22,14,-3,6,3,-6,-1,1,2,6,15,-3,1,0,9,4,24,5,1,-1,-2,0,-21,-5,0,1,-2,-1,-9,-2,0,1,0,-1,4,-1,0,1,-2,0,11,-2,1,0,-1,2,5,0,1,0,-3,0,-1,-3,-1,1,0.17,-0.93,-1.92,5.7,3.83,5.13,4.68,-0.34,-4.5,4.8,1.96,-2.64,0.82,-0.39,-2.46,0.33,-0.82,0.25,2.62,2.1,4.22,3.34,3.8,-1.28,-3.34,-7.73,-5.45,0,0,0,3.20857142857143,1.31571428571429,-0.457142857142857,8787892,1572,0.28,35.3,56273.38129
"10","London",2020-03-10,91,53,22,-6,7,-3,-7,-2,2,-1,2,3,-4,1,0,2,6,15,-3,1,0,9,4,24,5,1,-1,-2,0,-21,-5,0,1,-2,-1,-9,-2,0,1,0,-1,4,-1,0,1,-2,0,11,-2,1,0,-1,2,5,0,1,0,1.86,-1.63,-0.3,0.17,-0.93,-1.92,5.7,3.83,5.13,4.68,-0.34,-4.5,4.8,1.96,-2.64,0.82,-0.39,-2.46,0.33,-0.82,0.25,2.62,2.1,4.22,-4.02,-8.25,-7.2,0,0,0,2.99714285714286,0.54,-0.317142857142857,8787892,1572,0.28,35.3,56273.38129
