DATE,New cases
2/26/20,0
2/27/20,0
2/28/20,0
2/29/20,0
3/1/20,0
3/2/20,1
3/3/20,2
3/4/20,0
3/5/20,0
3/6/20,0
3/7/20,0
3/8/20,0
3/9/20,1
3/10/20,1
3/11/20,2
3/12/20,3
3/13/20,3
3/14/20,2
3/15/20,4
3/16/20,6
3/17/20,5
3/18/20,7
3/19/20,6
3/20/20,35
3/21/20,49
3/22/20,92
3/23/20,88
3/24/20,133
3/25/20,145
3/26/20,188
3/27/20,181
3/28/20,243
3/29/20,201
3/30/20,260
3/31/20,266
4/1/20,330
4/2/20,305
4/3/20,410
4/4/20,350
4/5/20,340
4/6/20,261
4/7/20,458
4/8/20,421
4/9/20,377
4/10/20,352
4/11/20,307
4/12/20,258
4/13/20,331
4/14/20,541
4/15/20,468
4/16/20,617
4/17/20,497
4/18/20,570
4/19/20,330
4/20/20,427
4/21/20,483
4/22/20,458
4/23/20,533
4/24/20,525
4/25/20,497
4/26/20,311
4/27/20,283
4/28/20,462
4/29/20,469
4/30/20,520
5/1/20,590
5/2/20,615
5/3/20,522
5/4/20,346
5/5/20,418
5/6/20,469
5/7/20,568
5/8/20,427
5/9/20,435
5/10/20,311
5/11/20,301
5/12/20,366
5/13/20,430
5/14/20,396
5/15/20,352
5/16/20,346
5/17/20,267
5/18/20,342
5/19/20,333
5/20/20,319
5/21/20,82
5/22/20,56
5/23/20,257
5/24/20,215
5/25/20,215
5/26/20,204
5/27/20,242
5/28/20,257
5/29/20,193
5/30/20,195
5/31/20,206
6/1/20,140
6/2/20,156
6/3/20,98
6/4/20,114
6/5/20,124
6/6/20,116
6/7/20,105
6/8/20,74
6/9/20,50
6/10/20,78
6/11/20,68
6/12/20,66
6/13/20,72
6/14/20,65
6/15/20,28
6/16/20,55
6/17/20,72
6/18/20,51
6/19/20,51
6/20/20,61
6/21/20,31
6/22/20,24
6/23/20,39
6/24/20,39
6/25/20,29
6/26/20,46
6/27/20,42
6/28/20,32
6/29/20,18
6/30/20,16
7/1/20,39
7/2/20,23
7/3/20,16
7/4/20,16
7/5/20,14
7/6/20,8
7/7/20,15
7/8/20,20
7/9/20,33
7/10/20,52
7/11/20,48
7/12/20,21
7/13/20,13
7/14/20,75
7/15/20,65
7/16/20,68
7/17/20,64
7/18/20,98
7/19/20,101
7/20/20,55
7/21/20,37
7/22/20,65
7/23/20,76
7/24/20,92
7/25/20,66
7/26/20,35
7/27/20,51
7/28/20,34
7/29/20,39
7/30/20,71
7/31/20,60
8/1/20,58
8/2/20,52
8/3/20,31
8/4/20,45
8/5/20,65
8/6/20,46
8/7/20,22
8/8/20,47
8/9/20,35
8/10/20,37
8/11/20,35
8/12/20,36
8/13/20,36
8/14/20,38
8/15/20,31
8/16/20,14
8/17/20,13
8/18/20,18
8/19/20,17
8/20/20,22
8/21/20,35
8/22/20,33
8/23/20,20
8/24/20,23
8/25/20,10
8/26/20,28
8/27/20,43
8/28/20,44
8/29/20,27
8/30/20,54
8/31/20,15
9/1/20,32
9/2/20,36
9/3/20,35
9/4/20,72
9/5/20,47
9/6/20,67
9/7/20,59
9/8/20,51
9/9/20,72
9/10/20,70
9/11/20,91
9/12/20,110
9/13/20,72
9/14/20,100
9/15/20,76
9/16/20,93
9/17/20,82
9/18/20,74
9/19/20,202
9/20/20,140
9/21/20,219
9/22/20,142
9/23/20,169
9/24/20,259
9/25/20,236
9/26/20,286
9/27/20,349
9/28/20,273
9/29/20,280
9/30/20,349
10/1/20,324
10/2/20,318
10/3/20,419
10/4/20,374
10/5/20,300
10/6/20,282
10/7/20,257
10/8/20,304
10/9/20,351
10/10/20,291
10/11/20,196
10/12/20,334
10/13/20,262
10/14/20,172
10/15/20,296
10/16/20,250
10/17/20,291
10/18/20,235
10/19/20,193
10/20/20,316
10/21/20,223
10/22/20,298
10/23/20,237
10/24/20,253
10/25/20,146
10/26/20,207
10/27/20,319
10/28/20,254
10/29/20,245
10/30/20,277
10/31/20,233
11/1/20,247
11/2/20,224
11/3/20,209
11/4/20,205
11/5/20,261
11/6/20,287
11/7/20,286
11/8/20,308
11/9/20,285
11/10/20,253
11/11/20,318
11/12/20,325
11/13/20,317
11/14/20,341
11/15/20,313
11/16/20,285
11/17/20,267
11/18/20,280
11/19/20,200
11/20/20,294
11/21/20,256
11/22/20,286
11/23/20,294
11/24/20,284
11/25/20,219
11/26/20,336
11/27/20,306
11/28/20,429
11/29/20,437
11/30/20,400
12/1/20,306
12/2/20,386
12/3/20,373
12/4/20,453
12/5/20,630
12/6/20,514
12/7/20,472
12/8/20,492
12/9/20,478
12/10/20,648
12/11/20,512
12/12/20,653
12/13/20,748
12/14/20,552
12/15/20,540
12/16/20,626
12/17/20,561
12/18/20,609
12/19/20,625
12/20/20,786
12/21/20,708
12/22/20,893
12/23/20,799
12/24/20,892
12/25/20,694
12/26/20,694
12/27/20,934
12/28/20,946
12/29/20,968
12/30/20,754
12/31/20,936
1/1/21,712
1/2/21,712
1/3/21,1300
1/4/21,1128
1/5/21,790
1/6/21,846
1/7/21,871
1/8/21,837
1/9/21,1531
1/10/21,1071
1/11/21,750
1/12/21,597
1/13/21,727
1/14/21,811
1/15/21,760
1/16/21,958
1/17/21,754
1/18/21,646
1/19/21,479
1/20/21,629
1/21/21,679
1/22/21,681
1/23/21,669
1/24/21,580
1/25/21,478
1/26/21,479
1/27/21,551
1/28/21,546
1/29/21,537
1/30/21,577
1/31/21,496
2/1/21,343
2/2/21,536
2/3/21,494
2/4/21,532
2/5/21,489
2/6/21,605
2/7/21,476
2/8/21,393
2/9/21,381
2/10/21,499
2/11/21,503
2/12/21,476
2/13/21,433
2/14/21,397
2/15/21,316
2/16/21,328
2/17/21,382
2/18/21,416
2/19/21,353
2/20/21,334
2/21/21,330
2/22/21,416
2/23/21,360
2/24/21,410
2/25/21,384
2/26/21,414
2/27/21,352
2/28/21,317
3/1/21,303
3/2/21,256
