Episode Date,Case Count
9/20/20,4
9/19/20,16
9/18/20,82
9/17/20,108
9/16/20,98
9/15/20,101
9/14/20,103
9/13/20,76
9/12/20,88
9/11/20,91
9/10/20,88
9/9/20,97
9/8/20,79
9/7/20,77
9/6/20,56
9/5/20,60
9/4/20,54
9/3/20,69
9/2/20,66
9/1/20,57
8/31/20,41
8/30/20,42
8/29/20,33
8/28/20,39
8/27/20,36
8/26/20,42
8/25/20,48
8/24/20,33
8/23/20,39
8/22/20,44
8/21/20,28
8/20/20,22
8/19/20,22
8/18/20,33
8/17/20,33
8/16/20,24
8/15/20,21
8/14/20,13
8/13/20,28
8/12/20,26
8/11/20,24
8/10/20,25
8/9/20,19
8/8/20,16
8/7/20,20
8/6/20,15
8/5/20,24
8/4/20,19
8/3/20,22
8/2/20,16
8/1/20,8
7/31/20,16
7/30/20,12
7/29/20,20
7/28/20,18
7/27/20,14
7/26/20,16
7/25/20,15
7/24/20,18
7/23/20,19
7/22/20,16
7/21/20,26
7/20/20,28
7/19/20,17
7/18/20,21
7/17/20,21
7/16/20,29
7/15/20,36
7/14/20,26
7/13/20,43
7/12/20,21
7/11/20,29
7/10/20,35
7/9/20,23
7/8/20,51
7/7/20,42
7/6/20,63
7/5/20,24
7/4/20,28
7/3/20,40
7/2/20,32
7/1/20,40
6/30/20,55
6/29/20,70
6/28/20,45
6/27/20,46
6/26/20,43
6/25/20,49
6/24/20,56
6/23/20,66
6/22/20,57
6/21/20,43
6/20/20,50
6/19/20,59
6/18/20,66
6/17/20,69
6/16/20,56
6/15/20,77
6/14/20,65
6/13/20,43
6/12/20,64
6/11/20,94
6/10/20,73
6/9/20,73
6/8/20,93
6/7/20,89
6/6/20,79
6/5/20,97
6/4/20,117
6/3/20,107
6/2/20,114
6/1/20,183
5/31/20,88
5/30/20,102
5/29/20,136
5/28/20,112
5/27/20,170
5/26/20,180
5/25/20,183
5/24/20,141
5/23/20,137
5/22/20,141
5/21/20,189
5/20/20,154
5/19/20,203
5/18/20,167
5/17/20,153
5/16/20,182
5/15/20,210
5/14/20,162
5/13/20,144
5/12/20,141
5/11/20,191
5/10/20,120
5/9/20,136
5/8/20,187
5/7/20,171
5/6/20,125
5/5/20,146
5/4/20,151
5/3/20,107
5/2/20,157
5/1/20,191
4/30/20,192
4/29/20,189
4/28/20,215
4/27/20,198
4/26/20,144
4/25/20,157
4/24/20,176
4/23/20,160
4/22/20,210
4/21/20,170
4/20/20,230
4/19/20,142
4/18/20,248
4/17/20,285
4/16/20,218
4/15/20,300
4/14/20,265
4/13/20,250
4/12/20,193
4/11/20,168
4/10/20,208
4/9/20,172
4/8/20,162
4/7/20,161
4/6/20,161
4/5/20,109
4/4/20,137
4/3/20,163
4/2/20,160
4/1/20,169
3/31/20,117
3/30/20,109
3/29/20,93
3/28/20,104
3/27/20,99
3/26/20,106
3/25/20,87
3/24/20,84
3/23/20,103
3/22/20,54
3/21/20,75
3/20/20,83
3/19/20,84
3/18/20,92
3/17/20,102
3/16/20,79
3/15/20,55
3/14/20,61
3/13/20,54
3/12/20,44
3/11/20,32
3/10/20,30
3/9/20,26
3/8/20,10
3/7/20,10
3/6/20,11
3/5/20,10
3/4/20,7
3/3/20,12
3/2/20,7
3/1/20,6
2/29/20,1
2/28/20,2
2/26/20,1
2/24/20,1
2/21/20,1
2/20/20,2
2/16/20,1
2/15/20,1
2/14/20,2
2/5/20,1
1/22/20,1
1/21/20,1
