city,date,newCases
New York,2020-06-06,1159
New York,2020-06-07,815
New York,2020-06-08,804
New York,2020-06-09,751
New York,2020-06-10,945
New York,2020-06-11,901
New York,2020-06-12,842
New York,2020-06-13,1061
New York,2020-06-14,703
New York,2020-06-15,671
New York,2020-06-16,650
New York,2020-06-17,687
New York,2020-06-18,693
New York,2020-06-19,803
New York,2020-06-20,733
Chicago,2020-06-06,842
Chicago,2020-06-07,775
Chicago,2020-06-08,681
Chicago,2020-06-09,724
Chicago,2020-06-10,536
Chicago,2020-06-11,672
Chicago,2020-06-12,522
Chicago,2020-06-13,501
Chicago,2020-06-14,521
Chicago,2020-06-15,477
Chicago,2020-06-16,587
Chicago,2020-06-17,459
Chicago,2020-06-18,623
Chicago,2020-06-19,592
Chicago,2020-06-20,547
Seattle,2020-06-06,42
Seattle,2020-06-07,56
Seattle,2020-06-08,88
Seattle,2020-06-09,61
Seattle,2020-06-10,38
Seattle,2020-06-11,39
Seattle,2020-06-12,99
Seattle,2020-06-13,77
Seattle,2020-06-14,70
Seattle,2020-06-15,87
Seattle,2020-06-16,100
Seattle,2020-06-17,85
Seattle,2020-06-18,135
Seattle,2020-06-19,159
Seattle,2020-06-20,69
Tampa,2020-06-06,146
Tampa,2020-06-07,165
Tampa,2020-06-08,178
Tampa,2020-06-09,112
Tampa,2020-06-10,188
Tampa,2020-06-11,280
Tampa,2020-06-12,213
Tampa,2020-06-13,390
Tampa,2020-06-14,267
Tampa,2020-06-15,390
Tampa,2020-06-16,359
Tampa,2020-06-17,429
Tampa,2020-06-18,588
Tampa,2020-06-19,704
Tampa,2020-06-20,699
Baltimore,2020-06-06,293
Baltimore,2020-06-07,216
Baltimore,2020-06-08,203
Baltimore,2020-06-09,193
Baltimore,2020-06-10,225
Baltimore,2020-06-11,330
Baltimore,2020-06-12,172
Baltimore,2020-06-13,258
Baltimore,2020-06-14,162
Baltimore,2020-06-15,152
Baltimore,2020-06-16,188
Baltimore,2020-06-17,257
Baltimore,2020-06-18,135
Baltimore,2020-06-19,165
Baltimore,2020-06-20,189
Cleveland,2020-06-06,56
Cleveland,2020-06-07,53
Cleveland,2020-06-08,68
Cleveland,2020-06-09,40
Cleveland,2020-06-10,91
Cleveland,2020-06-11,61
Cleveland,2020-06-12,71
Cleveland,2020-06-13,40
Cleveland,2020-06-14,44
Cleveland,2020-06-15,60
Cleveland,2020-06-16,63
Cleveland,2020-06-17,80
Cleveland,2020-06-18,85
Cleveland,2020-06-19,88
Cleveland,2020-06-20,89
Sacramento,2020-06-06,31
Sacramento,2020-06-07,43
Sacramento,2020-06-08,34
Sacramento,2020-06-09,51
Sacramento,2020-06-10,27
Sacramento,2020-06-11,54
Sacramento,2020-06-12,61
Sacramento,2020-06-13,30
Sacramento,2020-06-14,52
Sacramento,2020-06-15,65
Sacramento,2020-06-16,63
Sacramento,2020-06-17,117
Sacramento,2020-06-18,91
Sacramento,2020-06-19,65
Sacramento,2020-06-20,118
Indianapolis,2020-06-06,129
Indianapolis,2020-06-07,72
Indianapolis,2020-06-08,54
Indianapolis,2020-06-09,132
Indianapolis,2020-06-10,71
Indianapolis,2020-06-11,63
Indianapolis,2020-06-12,129
Indianapolis,2020-06-13,69
Indianapolis,2020-06-14,78
Indianapolis,2020-06-15,252
Indianapolis,2020-06-16,61
Indianapolis,2020-06-17,50
Indianapolis,2020-06-18,0
Indianapolis,2020-06-19,62
Indianapolis,2020-06-20,53
Phoenix,2020-06-06,719
Phoenix,2020-06-07,782
Phoenix,2020-06-08,520
Phoenix,2020-06-09,408
Phoenix,2020-06-10,953
Phoenix,2020-06-11,938
Phoenix,2020-06-12,957
Phoenix,2020-06-13,905
Phoenix,2020-06-14,901
Phoenix,2020-06-15,748
Phoenix,2020-06-16,1562
Phoenix,2020-06-17,1563
Phoenix,2020-06-18,1713
Phoenix,2020-06-19,2351
Phoenix,2020-06-20,2345
Houston,2020-06-06,552
Houston,2020-06-07,207
Houston,2020-06-08,402
Houston,2020-06-09,505
Houston,2020-06-10,492
Houston,2020-06-11,427
Houston,2020-06-12,540
Houston,2020-06-13,490
Houston,2020-06-14,277
Houston,2020-06-15,668
Houston,2020-06-16,980
Houston,2020-06-17,857
Houston,2020-06-18,605
Houston,2020-06-19,1601
Houston,2020-06-20,1424
Oklahoma,2020-06-06,9
Oklahoma,2020-06-07,21
Oklahoma,2020-06-08,21
Oklahoma,2020-06-09,25
Oklahoma,2020-06-10,33
Oklahoma,2020-06-11,32
Oklahoma,2020-06-12,67
Oklahoma,2020-06-13,51
Oklahoma,2020-06-14,46
Oklahoma,2020-06-15,61
Oklahoma,2020-06-16,50
Oklahoma,2020-06-17,99
Oklahoma,2020-06-18,151
Oklahoma,2020-06-19,113
Oklahoma,2020-06-20,73
Los Angeles,2020-06-06,1492
Los Angeles,2020-06-07,1691
Los Angeles,2020-06-08,867
Los Angeles,2020-06-09,1321
Los Angeles,2020-06-10,1447
Los Angeles,2020-06-11,2042
Los Angeles,2020-06-12,1683
Los Angeles,2020-06-13,1683
Los Angeles,2020-06-14,1136
Los Angeles,2020-06-15,951
Los Angeles,2020-06-16,1533
Los Angeles,2020-06-17,2303
Los Angeles,2020-06-18,1133
Los Angeles,2020-06-19,1687
Los Angeles,2020-06-20,2418
Denver,2020-06-06,142
Denver,2020-06-07,69
Denver,2020-06-08,103
Denver,2020-06-09,108
Denver,2020-06-10,97
Denver,2020-06-11,82
Denver,2020-06-12,114
Denver,2020-06-13,129
Denver,2020-06-14,65
Denver,2020-06-15,92
Denver,2020-06-16,67
Denver,2020-06-17,118
Denver,2020-06-18,126
Denver,2020-06-19,148
Denver,2020-06-20,89
Boston,2020-06-06,403
Boston,2020-06-07,203
Boston,2020-06-08,121
Boston,2020-06-09,185
Boston,2020-06-10,204
Boston,2020-06-11,368
Boston,2020-06-12,247
Boston,2020-06-13,224
Boston,2020-06-14,143
Boston,2020-06-15,70
Boston,2020-06-16,139
Boston,2020-06-17,209
Boston,2020-06-18,202
Boston,2020-06-19,154
Boston,2020-06-20,189
