,date,all_cases,all_deaths,geoid,display_name,population,length
0,2020-03-21,1,0,10100,"Aberdeen, SD",43191,77
1,2020-03-22,1,0,10100,"Aberdeen, SD",43191,77
2,2020-03-23,1,0,10100,"Aberdeen, SD",43191,77
3,2020-03-24,2,0,10100,"Aberdeen, SD",43191,77
4,2020-03-25,2,0,10100,"Aberdeen, SD",43191,77
5,2020-03-26,2,0,10100,"Aberdeen, SD",43191,77
6,2020-03-27,2,0,10100,"Aberdeen, SD",43191,77
7,2020-03-28,2,0,10100,"Aberdeen, SD",43191,77
8,2020-03-29,3,0,10100,"Aberdeen, SD",43191,77
9,2020-03-30,3,0,10100,"Aberdeen, SD",43191,77
10,2020-03-31,4,0,10100,"Aberdeen, SD",43191,77
11,2020-04-01,6,0,10100,"Aberdeen, SD",43191,77
12,2020-04-02,7,0,10100,"Aberdeen, SD",43191,77
13,2020-04-03,9,0,10100,"Aberdeen, SD",43191,77
14,2020-04-04,9,0,10100,"Aberdeen, SD",43191,77
15,2020-04-05,13,0,10100,"Aberdeen, SD",43191,77
16,2020-04-06,13,0,10100,"Aberdeen, SD",43191,77
17,2020-04-07,13,0,10100,"Aberdeen, SD",43191,77
18,2020-04-08,14,0,10100,"Aberdeen, SD",43191,77
19,2020-04-09,14,0,10100,"Aberdeen, SD",43191,77
20,2020-04-10,14,0,10100,"Aberdeen, SD",43191,77
21,2020-04-11,14,0,10100,"Aberdeen, SD",43191,77
22,2020-04-12,14,0,10100,"Aberdeen, SD",43191,77
23,2020-04-13,14,0,10100,"Aberdeen, SD",43191,77
24,2020-04-14,15,0,10100,"Aberdeen, SD",43191,77
25,2020-04-15,15,0,10100,"Aberdeen, SD",43191,77
26,2020-04-16,17,0,10100,"Aberdeen, SD",43191,77
27,2020-04-17,18,0,10100,"Aberdeen, SD",43191,77
28,2020-04-18,20,0,10100,"Aberdeen, SD",43191,77
29,2020-04-19,20,0,10100,"Aberdeen, SD",43191,77
30,2020-04-20,20,0,10100,"Aberdeen, SD",43191,77
31,2020-04-21,27,0,10100,"Aberdeen, SD",43191,77
32,2020-04-22,28,0,10100,"Aberdeen, SD",43191,77
33,2020-04-23,28,0,10100,"Aberdeen, SD",43191,77
34,2020-04-24,30,0,10100,"Aberdeen, SD",43191,77
35,2020-04-25,30,0,10100,"Aberdeen, SD",43191,77
36,2020-04-26,30,0,10100,"Aberdeen, SD",43191,77
37,2020-04-27,30,0,10100,"Aberdeen, SD",43191,77
38,2020-04-28,32,0,10100,"Aberdeen, SD",43191,77
39,2020-04-29,39,0,10100,"Aberdeen, SD",43191,77
40,2020-04-30,42,0,10100,"Aberdeen, SD",43191,77
41,2020-05-01,51,0,10100,"Aberdeen, SD",43191,77
42,2020-05-02,59,0,10100,"Aberdeen, SD",43191,77
43,2020-05-03,65,0,10100,"Aberdeen, SD",43191,77
44,2020-05-04,71,0,10100,"Aberdeen, SD",43191,77
45,2020-05-05,76,0,10100,"Aberdeen, SD",43191,77
46,2020-05-06,93,0,10100,"Aberdeen, SD",43191,77
47,2020-05-07,107,0,10100,"Aberdeen, SD",43191,77
48,2020-05-08,110,0,10100,"Aberdeen, SD",43191,77
49,2020-05-09,120,0,10100,"Aberdeen, SD",43191,77
50,2020-05-10,127,0,10100,"Aberdeen, SD",43191,77
51,2020-05-11,132,0,10100,"Aberdeen, SD",43191,77
52,2020-05-12,143,0,10100,"Aberdeen, SD",43191,77
53,2020-05-13,154,0,10100,"Aberdeen, SD",43191,77
54,2020-05-14,173,0,10100,"Aberdeen, SD",43191,77
55,2020-05-15,194,0,10100,"Aberdeen, SD",43191,77
56,2020-05-16,196,0,10100,"Aberdeen, SD",43191,77
57,2020-05-17,200,0,10100,"Aberdeen, SD",43191,77
58,2020-05-18,205,0,10100,"Aberdeen, SD",43191,77
59,2020-05-19,211,0,10100,"Aberdeen, SD",43191,77
60,2020-05-20,211,0,10100,"Aberdeen, SD",43191,77
61,2020-05-21,235,0,10100,"Aberdeen, SD",43191,77
62,2020-05-22,244,0,10100,"Aberdeen, SD",43191,77
63,2020-05-23,249,0,10100,"Aberdeen, SD",43191,77
64,2020-05-24,249,0,10100,"Aberdeen, SD",43191,77
65,2020-05-25,259,0,10100,"Aberdeen, SD",43191,77
66,2020-05-26,261,1,10100,"Aberdeen, SD",43191,77
67,2020-05-27,266,1,10100,"Aberdeen, SD",43191,77
68,2020-05-28,270,1,10100,"Aberdeen, SD",43191,77
69,2020-05-29,272,1,10100,"Aberdeen, SD",43191,77
70,2020-05-30,274,1,10100,"Aberdeen, SD",43191,77
71,2020-05-31,276,1,10100,"Aberdeen, SD",43191,77
72,2020-06-01,282,1,10100,"Aberdeen, SD",43191,77
73,2020-06-02,289,1,10100,"Aberdeen, SD",43191,77
74,2020-06-03,293,1,10100,"Aberdeen, SD",43191,77
75,2020-06-04,294,1,10100,"Aberdeen, SD",43191,77
76,2020-06-05,298,1,10100,"Aberdeen, SD",43191,77
0,2020-03-11,1,0,10140,"Aberdeen, WA",73901,87
1,2020-03-12,1,0,10140,"Aberdeen, WA",73901,87
2,2020-03-13,1,0,10140,"Aberdeen, WA",73901,87
3,2020-03-14,1,0,10140,"Aberdeen, WA",73901,87
4,2020-03-15,1,0,10140,"Aberdeen, WA",73901,87
5,2020-03-16,1,0,10140,"Aberdeen, WA",73901,87
6,2020-03-17,1,0,10140,"Aberdeen, WA",73901,87
7,2020-03-18,1,0,10140,"Aberdeen, WA",73901,87
8,2020-03-19,1,0,10140,"Aberdeen, WA",73901,87
9,2020-03-20,1,0,10140,"Aberdeen, WA",73901,87
10,2020-03-21,1,0,10140,"Aberdeen, WA",73901,87
11,2020-03-22,1,0,10140,"Aberdeen, WA",73901,87
12,2020-03-23,1,0,10140,"Aberdeen, WA",73901,87
13,2020-03-24,1,0,10140,"Aberdeen, WA",73901,87
14,2020-03-25,1,0,10140,"Aberdeen, WA",73901,87
15,2020-03-26,1,0,10140,"Aberdeen, WA",73901,87
16,2020-03-27,1,0,10140,"Aberdeen, WA",73901,87
17,2020-03-28,1,0,10140,"Aberdeen, WA",73901,87
18,2020-03-29,1,0,10140,"Aberdeen, WA",73901,87
19,2020-03-30,1,0,10140,"Aberdeen, WA",73901,87
20,2020-03-31,1,0,10140,"Aberdeen, WA",73901,87
21,2020-04-01,2,0,10140,"Aberdeen, WA",73901,87
22,2020-04-02,3,0,10140,"Aberdeen, WA",73901,87
23,2020-04-03,3,0,10140,"Aberdeen, WA",73901,87
24,2020-04-04,6,0,10140,"Aberdeen, WA",73901,87
25,2020-04-05,6,0,10140,"Aberdeen, WA",73901,87
26,2020-04-06,6,0,10140,"Aberdeen, WA",73901,87
27,2020-04-07,7,0,10140,"Aberdeen, WA",73901,87
28,2020-04-08,8,0,10140,"Aberdeen, WA",73901,87
29,2020-04-09,8,0,10140,"Aberdeen, WA",73901,87
30,2020-04-10,11,0,10140,"Aberdeen, WA",73901,87
31,2020-04-11,11,0,10140,"Aberdeen, WA",73901,87
32,2020-04-12,11,0,10140,"Aberdeen, WA",73901,87
33,2020-04-13,11,0,10140,"Aberdeen, WA",73901,87
34,2020-04-14,12,0,10140,"Aberdeen, WA",73901,87
35,2020-04-15,12,0,10140,"Aberdeen, WA",73901,87
36,2020-04-16,12,0,10140,"Aberdeen, WA",73901,87
