"date","newCases","city"
2020-02-27,0,"Stockholm"
2020-02-28,0,"Stockholm"
2020-02-29,1,"Stockholm"
2020-03-01,1,"Stockholm"
2020-03-02,1,"Stockholm"
2020-03-03,2,"Stockholm"
2020-03-04,4,"Stockholm"
2020-03-05,8,"Stockholm"
2020-03-06,11,"Stockholm"
2020-03-07,14,"Stockholm"
2020-03-08,16,"Stockholm"
2020-03-09,20,"Stockholm"
2020-03-10,27,"Stockholm"
2020-03-11,29,"Stockholm"
2020-03-12,30,"Stockholm"
2020-03-13,33,"Stockholm"
2020-03-14,34,"Stockholm"
2020-03-15,35,"Stockholm"
2020-03-16,33,"Stockholm"
2020-03-17,29,"Stockholm"
2020-03-18,30,"Stockholm"
2020-03-19,33,"Stockholm"
2020-03-20,43,"Stockholm"
2020-03-21,46,"Stockholm"
2020-03-22,57,"Stockholm"
2020-03-23,63,"Stockholm"
2020-03-24,78,"Stockholm"
2020-03-25,89,"Stockholm"
2020-03-26,102,"Stockholm"
2020-03-27,101,"Stockholm"
2020-03-28,125,"Stockholm"
2020-03-29,128,"Stockholm"
2020-03-30,141,"Stockholm"
2020-03-31,146,"Stockholm"
2020-04-01,165,"Stockholm"
2020-04-02,175,"Stockholm"
2020-04-03,193,"Stockholm"
2020-04-04,187,"Stockholm"
2020-04-05,194,"Stockholm"
2020-04-06,191,"Stockholm"
2020-04-07,186,"Stockholm"
2020-04-08,193,"Stockholm"
2020-04-09,199,"Stockholm"
2020-04-10,200,"Stockholm"
2020-04-11,194,"Stockholm"
2020-04-12,197,"Stockholm"
2020-04-13,205,"Stockholm"
2020-04-14,218,"Stockholm"
2020-04-15,202,"Stockholm"
2020-04-16,196,"Stockholm"
2020-04-17,189,"Stockholm"
2020-04-18,207,"Stockholm"
2020-04-19,204,"Stockholm"
2020-04-20,202,"Stockholm"
2020-04-21,198,"Stockholm"
2020-04-22,202,"Stockholm"
2020-04-23,211,"Stockholm"
2020-04-24,226,"Stockholm"
2020-04-25,214,"Stockholm"
2020-04-26,209,"Stockholm"
2020-04-27,198,"Stockholm"
2020-04-28,205,"Stockholm"
2020-04-29,205,"Stockholm"
2020-04-30,193,"Stockholm"
2020-05-01,177,"Stockholm"
2020-05-02,169,"Stockholm"
2020-05-03,159,"Stockholm"
2020-05-04,165,"Stockholm"
2020-05-05,152,"Stockholm"
2020-05-06,143,"Stockholm"
2020-05-07,142,"Stockholm"
2020-05-08,146,"Stockholm"
2020-05-09,161,"Stockholm"
2020-05-10,162,"Stockholm"
2020-05-11,153,"Stockholm"
2020-05-12,163,"Stockholm"
2020-05-13,166,"Stockholm"
2020-05-14,166,"Stockholm"
2020-05-15,155,"Stockholm"
2020-05-16,138,"Stockholm"
2020-05-17,136,"Stockholm"
2020-05-18,135,"Stockholm"
2020-05-19,120,"Stockholm"
2020-05-20,112,"Stockholm"
2020-05-21,103,"Stockholm"
2020-05-22,101,"Stockholm"
2020-05-23,94,"Stockholm"
2020-05-24,103,"Stockholm"
2020-05-25,103,"Stockholm"
2020-05-26,107,"Stockholm"
2020-05-27,113,"Stockholm"
2020-05-28,106,"Stockholm"
2020-05-29,127,"Stockholm"
2020-05-30,140,"Stockholm"
2020-05-31,134,"Stockholm"
2020-06-01,134,"Stockholm"
2020-06-02,131,"Stockholm"
2020-06-03,329,"Stockholm"
2020-06-04,351,"Stockholm"
2020-06-05,351,"Stockholm"
2020-06-06,359,"Stockholm"
2020-06-07,371,"Stockholm"
2020-06-08,371,"Stockholm"
2020-06-09,377,"Stockholm"
2020-06-10,185,"Stockholm"
2020-06-11,188,"Stockholm"
2020-06-12,187,"Stockholm"
2020-06-13,182,"Stockholm"
2020-06-14,175,"Stockholm"
2020-06-15,186,"Stockholm"
2020-06-16,186,"Stockholm"
2020-06-17,188,"Stockholm"
2020-06-18,208,"Stockholm"
2020-06-19,172,"Stockholm"
2020-06-20,148,"Stockholm"
2020-06-21,130,"Stockholm"
2020-06-22,168,"Stockholm"
2020-06-23,294,"Stockholm"
2020-06-24,300,"Stockholm"
2020-06-25,282,"Stockholm"
2020-06-26,327,"Stockholm"
2020-06-27,327,"Stockholm"
2020-06-28,327,"Stockholm"
2020-06-29,372,"Stockholm"
2020-06-30,262,"Stockholm"
2020-07-01,279,"Stockholm"
