"city","date","newCases","casesTminus1","casesTminus2","drivingMinus7","transitMinus7","walkingMinus7","drivingMinus8","transitMinus8","walkingMinus8","drivingMinus9","transitMinus9","walkingMinus9","drivingMinus10","transitMinus10","walkingMinus10","drivingMinus11","transitMinus11","walkingMinus11","drivingMinus12","transitMinus12","walkingMinus12","drivingMinus13","transitMinus13","walkingMinus13","drivingMinus14","transitMinus14","walkingMinus14","driving","walking","transit","anomalousWeekend","longWeekend","weekend","sumDrivingMinus7_14","sumTransitMinus7_14","sumWalkingMinus7_14","Population","LandAreakm","Poverty.rate","Median.age","Median.household.income"
"Baltimore",2020-06-06,293,293,391,6.86,-29.99,8.47,-4.98,-40.97,-4.6,-7.01,-44.91,1.03,-1.71,-40.65,6.87,-1.47,-41.08,9.92,-10.27,-47.81,1.2,7.85,-34.61,9.1,-2.53,-34.28,-5.77,16.68,21.85,-19.25,0,0,1,-1.89428571428571,-44.9,3.74571428571429,620961,"209.5",0.224,35.5,51000
"Baltimore",2020-06-07,216,293,293,15.91,-26.69,19.02,6.86,-29.99,8.47,-4.98,-40.97,-4.6,-7.01,-44.91,1.03,-1.71,-40.65,6.87,-1.47,-41.08,9.92,-10.27,-47.81,1.2,7.85,-34.61,9.1,25.47,27.4,-22.14,0,0,1,0.74,-43.8157142857143,7.28714285714286,620961,"209.5",0.224,35.5,51000
"Baltimore",2020-06-08,203,216,293,9.68,-36.44,45.46,15.91,-26.69,19.02,6.86,-29.99,8.47,-4.98,-40.97,-4.6,-7.01,-44.91,1.03,-1.71,-40.65,6.87,-1.47,-41.08,9.92,-10.27,-47.81,1.2,11.79,21.86,-32.55,0,0,0,1.00142857142857,-44.0771428571429,12.4814285714286,620961,"209.5",0.224,35.5,51000
"Baltimore",2020-06-09,193,203,216,4.04,-40.77,17.13,9.68,-36.44,45.46,15.91,-26.69,19.02,6.86,-29.99,8.47,-4.98,-40.97,-4.6,-7.01,-44.91,1.03,-1.71,-40.65,6.87,-1.47,-41.08,9.92,13.65,22.65,-31.7,0,0,0,3.04571428571429,-43.0714285714286,14.7571428571429,620961,"209.5",0.224,35.5,51000
"Baltimore",2020-06-10,225,193,203,4,-33.82,17.5,4.04,-40.77,17.13,9.68,-36.44,45.46,15.91,-26.69,19.02,6.86,-29.99,8.47,-4.98,-40.97,-4.6,-7.01,-44.91,1.03,-1.71,-40.65,6.87,9.75,21.23,-31.05,0,0,0,3.82714285714286,-42.0342857142857,15.84,620961,"209.5",0.224,35.5,51000
"Baltimore",2020-06-11,330,225,193,6.87,-36.11,9.81,4,-33.82,17.5,4.04,-40.77,17.13,9.68,-36.44,45.46,15.91,-26.69,19.02,6.86,-29.99,8.47,-4.98,-40.97,-4.6,-7.01,-44.91,1.03,7.73,17.65,-32.74,0,0,0,5.05285714285714,-41.3857142857143,16.26,620961,"209.5",0.224,35.5,51000
"Baltimore",2020-06-12,172,330,225,-2.63,-39.54,-6.37,6.87,-36.11,9.81,4,-33.82,17.5,4.04,-40.77,17.13,9.68,-36.44,45.46,15.91,-26.69,19.02,6.86,-29.99,8.47,-4.98,-40.97,-4.6,12.25,27.97,-29.8,0,0,0,5.67857142857143,-40.6185714285714,15.2028571428571,620961,"209.5",0.224,35.5,51000
"Baltimore",2020-06-13,258,172,330,16.68,-19.25,21.85,-2.63,-39.54,-6.37,6.87,-36.11,9.81,4,-33.82,17.5,4.04,-40.77,17.13,9.68,-36.44,45.46,15.91,-26.69,19.02,6.86,-29.99,8.47,21.74,22.09,-16.96,0,0,1,8.77285714285714,-37.5157142857143,18.9814285714286,620961,"209.5",0.224,35.5,51000
"Baltimore",2020-06-14,162,258,172,25.47,-22.14,27.4,16.68,-19.25,21.85,-2.63,-39.54,-6.37,6.87,-36.11,9.81,4,-33.82,17.5,4.04,-40.77,17.13,9.68,-36.44,45.46,15.91,-26.69,19.02,30.14,32.29,-14.49,0,0,1,11.4314285714286,-36.3942857142857,21.6857142857143,620961,"209.5",0.224,35.5,51000
"Baltimore",2020-06-15,152,162,258,11.79,-32.55,21.86,25.47,-22.14,27.4,16.68,-19.25,21.85,-2.63,-39.54,-6.37,6.87,-36.11,9.81,4,-33.82,17.5,4.04,-40.77,17.13,9.68,-36.44,45.46,15.81,23.39,-33.1,0,0,0,10.8428571428571,-37.2314285714286,22.0914285714286,620961,"209.5",0.224,35.5,51000
"Baltimore",2020-06-16,188,152,162,13.65,-31.7,22.65,11.79,-32.55,21.86,25.47,-22.14,27.4,16.68,-19.25,21.85,-2.63,-39.54,-6.37,6.87,-36.11,9.81,4,-33.82,17.5,4.04,-40.77,17.13,18.86,27.15,-30.85,0,0,0,11.41,-36.5542857142857,18.8328571428571,620961,"209.5",0.224,35.5,51000
"Baltimore",2020-06-17,257,188,152,9.75,-31.05,21.23,13.65,-31.7,22.65,11.79,-32.55,21.86,25.47,-22.14,27.4,16.68,-19.25,21.85,-2.63,-39.54,-6.37,6.87,-36.11,9.81,4,-33.82,17.5,9.47,14.42,-36.6,0,0,0,12.2257142857143,-35.1657142857143,19.4185714285714,620961,"209.5",0.224,35.5,51000
"Baltimore",2020-06-18,135,257,188,7.73,-32.74,17.65,9.75,-31.05,21.23,13.65,-31.7,22.65,11.79,-32.55,21.86,25.47,-22.14,27.4,16.68,-19.25,21.85,-2.63,-39.54,-6.37,6.87,-36.11,9.81,12.57,25.75,-29.4,0,0,0,12.7585714285714,-35.0114285714286,19.44,620961,"209.5",0.224,35.5,51000
"Baltimore",2020-06-19,165,135,257,12.25,-29.8,27.97,7.73,-32.74,17.65,9.75,-31.05,21.23,13.65,-31.7,22.65,11.79,-32.55,21.86,25.47,-22.14,27.4,16.68,-19.25,21.85,-2.63,-39.54,-6.37,10.51,10.44,-31.84,0,0,0,13.5271428571429,-34.11,22.0342857142857,620961,"209.5",0.224,35.5,51000
"Baltimore",2020-06-20,189,165,135,21.74,-16.96,22.09,12.25,-29.8,27.97,7.73,-32.74,17.65,9.75,-31.05,21.23,13.65,-31.7,22.65,11.79,-32.55,21.86,25.47,-22.14,27.4,16.68,-19.25,21.85,14.73,7.69,-23.07,0,0,1,17.0085714285714,-30.8842857142857,26.1,620961,"209.5",0.224,35.5,51000
