"city","date","newCases","casesTminus1","casesTminus2","drivingMinus7","transitMinus7","walkingMinus7","drivingMinus8","transitMinus8","walkingMinus8","drivingMinus9","transitMinus9","walkingMinus9","drivingMinus10","transitMinus10","walkingMinus10","drivingMinus11","transitMinus11","walkingMinus11","drivingMinus12","transitMinus12","walkingMinus12","drivingMinus13","transitMinus13","walkingMinus13","drivingMinus14","transitMinus14","walkingMinus14","driving","walking","transit","anomalousWeekend","longWeekend","weekend","sumDrivingMinus7_14","sumTransitMinus7_14","sumWalkingMinus7_14","Population","LandAreakm","Poverty.rate","Median.age","Median.household.income"
"Atlanta",2020-03-02,2,0,0,3.59,-2.85,-11.14,6.73,4.81,4.54,12.09,7.51,23.44,7.82,2.84,5.55,3.31,-1.88,1.55,7.4,2.76,2.39,4.48,1.55,-8.78,7.27,5.24,6.26,8.03,-3.94,3.27,0,0,0,7.52714285714286,2.85428571428571,3.40142857142857,5950000,"8376",13.9,36.6,69464
"Atlanta",2020-03-03,0,2,0,7.82,3.34,4.76,3.59,-2.85,-11.14,6.73,4.81,4.54,12.09,7.51,23.44,7.82,2.84,5.55,3.31,-1.88,1.55,7.4,2.76,2.39,4.48,1.55,-8.78,3.64,-0.85,-2.91,0,0,0,7.60571428571429,2.58285714285714,3.18714285714286,5950000,"8376",13.9,36.6,69464
"Atlanta",2020-03-04,0,0,2,13.01,4.61,8.71,7.82,3.34,4.76,3.59,-2.85,-11.14,6.73,4.81,4.54,12.09,7.51,23.44,7.82,2.84,5.55,3.31,-1.88,1.55,7.4,2.76,2.39,8.07,-5.03,-4.81,0,0,0,8.82428571428571,3.02,5.68571428571429,5950000,"8376",13.9,36.6,69464
"Atlanta",2020-03-05,0,0,0,15.97,12.06,27.63,13.01,4.61,8.71,7.82,3.34,4.76,3.59,-2.85,-11.14,6.73,4.81,4.54,12.09,7.51,23.44,7.82,2.84,5.55,3.31,-1.88,1.55,8.83,6.17,1.56,0,0,0,10.0485714285714,4.34857142857143,9.29142857142857,5950000,"8376",13.9,36.6,69464
"Atlanta",2020-03-06,0,0,0,14.98,12.53,23.76,15.97,12.06,27.63,13.01,4.61,8.71,7.82,3.34,4.76,3.59,-2.85,-11.14,6.73,4.81,4.54,12.09,7.51,23.44,7.82,2.84,5.55,22.89,19.98,14.43,0,0,0,11.7157142857143,6.40714285714286,12.4642857142857,5950000,"8376",13.9,36.6,69464
"Atlanta",2020-03-07,4,0,0,24.32,25.38,58.58,14.98,12.53,23.76,15.97,12.06,27.63,13.01,4.61,8.71,7.82,3.34,4.76,3.59,-2.85,-11.14,6.73,4.81,4.54,12.09,7.51,23.44,22.06,39.09,18.44,0,0,1,14.0728571428571,9.62714285714286,20.04,5950000,"8376",13.9,36.6,69464
"Atlanta",2020-03-08,4,4,0,16.99,12.27,26.35,24.32,25.38,58.58,14.98,12.53,23.76,15.97,12.06,27.63,13.01,4.61,8.71,7.82,3.34,4.76,3.59,-2.85,-11.14,6.73,4.81,4.54,17.56,21.54,10.31,0,0,1,14.7728571428571,10.3071428571429,20.4557142857143,5950000,"8376",13.9,36.6,69464
"Atlanta",2020-03-09,5,4,4,8.03,3.27,-3.94,16.99,12.27,26.35,24.32,25.38,58.58,14.98,12.53,23.76,15.97,12.06,27.63,13.01,4.61,8.71,7.82,3.34,4.76,3.59,-2.85,-11.14,13.15,11.94,8.7,0,0,0,14.9585714285714,10.0871428571429,19.2442857142857,5950000,"8376",13.9,36.6,69464
"Atlanta",2020-03-10,4,5,4,3.64,-2.91,-0.85,8.03,3.27,-3.94,16.99,12.27,26.35,24.32,25.38,58.58,14.98,12.53,23.76,15.97,12.06,27.63,13.01,4.61,8.71,7.82,3.34,4.76,6.19,1.16,-2.34,0,0,0,14.9657142857143,10.0785714285714,20.7142857142857,5950000,"8376",13.9,36.6,69464
"Atlanta",2020-03-11,6,4,5,8.07,-4.81,-5.03,3.64,-2.91,-0.85,8.03,3.27,-3.94,16.99,12.27,26.35,24.32,25.38,58.58,14.98,12.53,23.76,15.97,12.06,27.63,13.01,4.61,8.71,12.4,7.23,0.98,0,0,0,15.0014285714286,8.91428571428571,19.3157142857143,5950000,"8376",13.9,36.6,69464
