"city","date","newCases","casesTminus1","casesTminus2","drivingMinus7","transitMinus7","walkingMinus7","drivingMinus8","transitMinus8","walkingMinus8","drivingMinus9","transitMinus9","walkingMinus9","drivingMinus10","transitMinus10","walkingMinus10","drivingMinus11","transitMinus11","walkingMinus11","drivingMinus12","transitMinus12","walkingMinus12","drivingMinus13","transitMinus13","walkingMinus13","drivingMinus14","transitMinus14","walkingMinus14","driving","walking","transit","anomalousWeekend","longWeekend","weekend","sumDrivingMinus7_14","sumTransitMinus7_14","sumWalkingMinus7_14","Population","LandAreakm","Poverty.rate","Median.age","Median.household.income","usa"
"Baltimore",2020-03-07,1,0,0,129.04,88.39,160.06,137.27,104.58,145.87,116.24,94.48,110.87,113.97,98.95,110.56,110.18,100.23,104.62,105.24,104.63,111.65,95.48,75.87,112.43,131.57,90.72,175.75,135.35,181.57,96.92,0,0,1,134.141428571429,108.264285714286,147.401428571429,620961,"209.5",0.224,35.5,51000,"usa"
"Baltimore",2020-03-08,0,1,0,96.19,76.84,107.55,129.04,88.39,160.06,137.27,104.58,145.87,116.24,94.48,110.87,113.97,98.95,110.56,110.18,100.23,104.62,105.24,104.63,111.65,95.48,75.87,112.43,97.77,114.78,79.35,0,0,1,129.087142857143,106.281428571429,137.658571428571,620961,"209.5",0.224,35.5,51000,"usa"
"Baltimore",2020-03-09,0,0,1,108.06,105.43,105.48,96.19,76.84,107.55,129.04,88.39,160.06,137.27,104.58,145.87,116.24,94.48,110.87,113.97,98.95,110.56,110.18,100.23,104.62,105.24,104.63,111.65,116.79,124.88,109.82,0,0,0,130.884285714286,110.504285714286,136.665714285714,620961,"209.5",0.224,35.5,51000,"usa"
"Baltimore",2020-03-10,1,0,0,110.49,105.54,111.09,108.06,105.43,105.48,96.19,76.84,107.55,129.04,88.39,160.06,137.27,104.58,145.87,116.24,94.48,110.87,113.97,98.95,110.56,110.18,100.23,104.62,114.83,117.14,100.2,0,0,0,131.634285714286,110.634285714286,136.585714285714,620961,"209.5",0.224,35.5,51000,"usa"
"Baltimore",2020-03-11,0,1,0,118.67,109.63,122.63,110.49,105.54,111.09,108.06,105.43,105.48,96.19,76.84,107.55,129.04,88.39,160.06,137.27,104.58,145.87,116.24,94.48,110.87,113.97,98.95,110.56,112.13,109.94,100.41,0,0,0,132.847142857143,111.977142857143,139.158571428571,620961,"209.5",0.224,35.5,51000,"usa"
"Baltimore",2020-03-12,2,0,1,120.94,105.86,124.64,118.67,109.63,122.63,110.49,105.54,111.09,108.06,105.43,105.48,96.19,76.84,107.55,129.04,88.39,160.06,137.27,104.58,145.87,116.24,94.48,110.87,107.58,112.53,95,1,0,0,133.842857142857,112.964285714286,141.17,620961,"209.5",0.224,35.5,51000,"usa"
"Baltimore",2020-03-13,3,2,0,137.42,109.75,150.7,120.94,105.86,124.64,118.67,109.63,122.63,110.49,105.54,111.09,108.06,105.43,105.48,96.19,76.84,107.55,129.04,88.39,160.06,137.27,104.58,145.87,118.11,129.52,94.35,1,0,0,136.868571428571,115.145714285714,146.86,620961,"209.5",0.224,35.5,51000,"usa"
"Baltimore",2020-03-14,3,3,2,135.35,96.92,181.57,137.42,109.75,150.7,120.94,105.86,124.64,118.67,109.63,122.63,110.49,105.54,111.09,108.06,105.43,105.48,96.19,76.84,107.55,129.04,88.39,160.06,102.79,134.39,79.14,1,0,1,136.594285714286,114.051428571429,151.96,620961,"209.5",0.224,35.5,51000,"usa"
"Baltimore",2020-03-15,1,3,3,97.77,79.35,114.78,135.35,96.92,181.57,137.42,109.75,150.7,120.94,105.86,124.64,118.67,109.63,122.63,110.49,105.54,111.09,108.06,105.43,105.48,96.19,76.84,107.55,72.35,78.6,61.47,1,0,1,132.127142857143,112.76,145.491428571429,620961,"209.5",0.224,35.5,51000,"usa"
"Baltimore",2020-03-16,5,1,3,116.79,109.82,124.88,97.77,79.35,114.78,135.35,96.92,181.57,137.42,109.75,150.7,120.94,105.86,124.64,118.67,109.63,122.63,110.49,105.54,111.09,108.06,105.43,105.48,80.66,80.15,67.59,0,0,0,135.07,117.471428571429,147.967142857143,620961,"209.5",0.224,35.5,51000,"usa"
