"city","date","weekNum","case.rate","casesTminus1.rate","casesTminus2.rate","testingNearMe","testingNearMeTminus1"
"Albuquerque",2020-03-01,1,0.38,NA,NA,NA,NA
"Albuquerque",2020-03-08,2,1.04,0.38,NA,NA,NA
"Albuquerque",2020-03-15,3,3.44,1.04,0.38,10,NA
"Albuquerque",2020-03-22,4,7.64,3.44,1.04,5,10
"Albuquerque",2020-03-29,5,21.4,7.64,3.44,3,5
"Albuquerque",2020-04-05,6,37.12,21.4,7.64,2,3
"Albuquerque",2020-04-12,7,25.22,37.12,21.4,2,2
"Albuquerque",2020-04-19,8,23.26,25.22,37.12,2,2
"Albuquerque",2020-04-26,9,29.37,23.26,25.22,5,2
"Albuquerque",2020-05-03,10,23.69,29.37,23.26,18,5
"Albuquerque",2020-05-10,11,20.74,23.69,29.37,8,18
"Albuquerque",2020-05-17,12,20.31,20.74,23.69,16,8
"Albuquerque",2020-05-24,13,22.16,20.31,20.74,15,16
"Albuquerque",2020-05-31,14,15.39,22.16,20.31,10,15
"Albuquerque",2020-06-07,15,15.72,15.39,22.16,10,10
"Albuquerque",2020-06-14,16,19.87,15.72,15.39,32,10
"Albuquerque",2020-06-21,17,31.77,19.87,15.72,48,32
"Albuquerque",2020-06-28,18,53.93,31.77,19.87,68,48
"Albuquerque",2020-07-05,19,71.51,53.93,31.77,37,68
"Albuquerque",2020-07-12,20,96.62,71.51,53.93,22,37
"Albuquerque",2020-07-19,21,85.92,96.62,71.51,16,22
"Albuquerque",2020-07-26,22,69.11,85.92,96.62,5,16
"Albuquerque",2020-08-02,23,41.92,69.11,85.92,8,5
"Albuquerque",2020-08-09,24,34.28,41.92,69.11,10,8
"Albuquerque",2020-08-16,25,27.95,34.28,41.92,5,10
"Albuquerque",2020-08-23,26,36.9,27.95,34.28,10,5
"Albuquerque",2020-08-30,27,22.05,36.9,27.95,5,10
"Albuquerque",2020-09-06,28,13.87,22.05,36.9,5,5
"Albuquerque",2020-09-13,29,23.36,13.87,22.05,3,5
"Albuquerque",2020-09-20,30,31.55,23.36,13.87,14,3
"Albuquerque",2020-09-27,31,55.14,31.55,23.36,25,14
"Albuquerque",2020-10-04,32,99.9,55.14,31.55,41,25
"Albuquerque",2020-10-11,33,162.57,99.9,55.14,30,41
"Albuquerque",2020-10-18,34,187.24,162.57,99.9,36,30
"Albuquerque",2020-10-25,35,210.28,187.24,162.57,50,36
