"Vars","Estimate","stdError","p"
"Intercept","35.937",133.803,"0.789"
"drivingMinus10","24.827",14.255,"0.084"
"walkingMinus10","-10.479",12.935,"0.419"
"transitMinus10","-12.343",5.198,"0.019 *"
"anomalousWeekend","8.586",319.395,"0.979"
"longWeekend","-40.269",199.948,"0.841"
"weekend","-90.736",121.889,"0.458"
"casesTminus1","0.539",0.091,"<0.001 *"
"casesTminus2","0.256",0.094,"0.007 *"
"R2 Adjusted Training","0.777",NA,NA
"R2 Test","0.017",NA,NA
"RMSE Train","554.625",NA,NA
"RMSE Test","971.021",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.285",NA,NA
