"Vars","Estimate","stdError","p"
"Intercept","-26.085",100.449,"0.795"
"drivingMinus14","7.22",5.893,"0.222"
"walkingMinus14","1.274",3.485,"0.715"
"transitMinus14","-8.617",3.61,"0.018 *"
"anomalousWeekend","-83.376",281.17,"0.767"
"longWeekend","-112.502",145.964,"0.442"
"weekend","82.984",80.749,"0.305"
"casesTminus1","0.339",0.062,"<0.001 *"
"casesTminus2","0.323",0.062,"<0.001 *"
"R2 Adjusted Training","0.625",NA,NA
"R2 Test","0.016",NA,NA
"RMSE Train","502.299",NA,NA
"RMSE Test","913.021",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.379",NA,NA
