"Vars","Estimate","stdError","p"
"Intercept","41.597",19.654,"0.035 *"
"drivingMinus7","0.408",0.506,"0.421"
"walkingMinus7","-0.128",0.591,"0.829"
"transitMinus7","-0.251",0.357,"0.483"
"anomalousWeekend","-3.824",38.483,"0.921"
"longWeekend","-9.841",20.131,"0.625"
"weekend","-49.643",11.476,"<0.001 *"
"casesTminus1","0.354",0.058,"<0.001 *"
"casesTminus2","0.452",0.059,"<0.001 *"
"R2 Adjusted Training","0.606",NA,NA
"R2 Test","0.134",NA,NA
"RMSE Train","70.098",NA,NA
"RMSE Test","301.684",NA,NA
"RMSPE Train","0.862",NA,NA
"RMSPE Test","0.382",NA,NA
