"Vars","Estimate","stdError","p"
"Intercept","-4.146",7.844,"0.598"
"drivingMinus7","1.626",0.647,"0.014 *"
"walkingMinus7","-1.037",0.589,"0.081"
"transitMinus7","-0.581",0.351,"0.101"
"anomalousWeekend","0.053",17.098,"0.998"
"longWeekend","9.245",12.471,"0.46"
"weekend","-8.964",8.697,"0.305"
"casesTminus1","0.384",0.089,"<0.001 *"
"casesTminus2","0.637",0.091,"<0.001 *"
"R2 Adjusted Training","0.821",NA,NA
"R2 Test","0.227",NA,NA
"RMSE Train","29.65",NA,NA
"RMSE Test","442.798",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.446",NA,NA
