"Vars","Estimate","stdError","p"
"Intercept","-27.669",26,"0.29"
"drivingMinus7","-3.304",3.049,"0.282"
"walkingMinus7","1.836",1.859,"0.326"
"transitMinus7","-1.165",1.834,"0.527"
"drivingMinus8","4.777",3.015,"0.117"
"walkingMinus8","0.376",1.991,"0.851"
"transitMinus8","-5.464",1.877,"0.005 *"
"anomalousWeekend","48.873",46.521,"0.297"
"longWeekend","-26.623",31.51,"0.401"
"weekend","-0.765",26.943,"0.977"
"casesTminus1","0.168",0.111,"0.136"
"casesTminus2","0.154",0.104,"0.144"
"R2 Adjusted Training","0.779",NA,NA
"R2 Test","0.007",NA,NA
"RMSE Train","69.591",NA,NA
"RMSE Test","119.424",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.699",NA,NA
