"Vars","Estimate","stdError","p"
"Intercept","-19.55",25.228,"0.44"
"drivingMinus8","-1.264",0.848,"0.139"
"walkingMinus8","1.33",0.623,"0.035 *"
"transitMinus8","-2.097",1.13,"0.066"
"drivingMinus9","1.111",0.9,"0.22"
"walkingMinus9","-0.616",0.57,"0.282"
"transitMinus9","1.354",1.075,"0.21"
"anomalousWeekend","8.146",34.834,"0.816"
"longWeekend","-6.643",14.801,"0.654"
"weekend","1.356",12.603,"0.915"
"casesTminus1","0.487",0.088,"<0.001 *"
"casesTminus2","0.38",0.089,"<0.001 *"
"R2 Adjusted Training","0.766",NA,NA
"R2 Test","0.011",NA,NA
"RMSE Train","40.847",NA,NA
"RMSE Test","53.23",NA,NA
"RMSPE Train","3.877",NA,NA
"RMSPE Test","0.195",NA,NA
