"Vars","Estimate","stdError","p"
"Intercept","6.349",3.554,"0.075"
"drivingMinus8","-0.912",0.184,"<0.001 *"
"walkingMinus8","0.362",0.166,"0.03 *"
"transitMinus8","0.782",0.36,"0.03 *"
"drivingMinus9","0.74",0.199,"<0.001 *"
"walkingMinus9","-0.165",0.181,"0.362"
"transitMinus9","-0.801",0.353,"0.024 *"
"anomalousWeekend","-2.346",7.585,"0.757"
"longWeekend","-2.88",4.105,"0.483"
"weekend","-7.094",2.063,"0.001 *"
"casesTminus1","-0.013",0.011,"0.245"
"casesTminus2","0.979",0.011,"<0.001 *"
"R2 Adjusted Training","0.959",NA,NA
"R2 Test","0.89",NA,NA
"RMSE Train","18.929",NA,NA
"RMSE Test","73.695",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","Inf",NA,NA
