"Vars","Estimate","stdError","p"
"Intercept","123.325",104.647,"0.24"
"drivingMinus9","-1.553",3.311,"0.64"
"walkingMinus9","1.279",2.881,"0.657"
"transitMinus9","-2.476",2.058,"0.23"
"anomalousWeekend","28.554",252.754,"0.91"
"longWeekend","-4.813",129.509,"0.97"
"weekend","-283.062",66.772,"<0.001 *"
"casesTminus1","0.436",0.066,"<0.001 *"
"casesTminus2","0.438",0.07,"<0.001 *"
"R2 Adjusted Training","0.732",NA,NA
"R2 Test","0.002",NA,NA
"RMSE Train","451.396",NA,NA
"RMSE Test","3028.958",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.313",NA,NA
