"Vars","Estimate","stdError","p"
"Intercept","-40.021",210.772,"0.85"
"drivingMinus9","28.983",11.846,"0.015 *"
"walkingMinus9","-6.157",8.217,"0.454"
"transitMinus9","-24.552",6.643,"<0.001 *"
"anomalousWeekend","97.512",542.265,"0.857"
"longWeekend","-162.843",278.315,"0.559"
"weekend","-309.961",141.597,"0.03 *"
"casesTminus1","0.126",0.062,"0.044 *"
"casesTminus2","0.123",0.062,"0.05"
"R2 Adjusted Training","0.284",NA,NA
"R2 Test","0.058",NA,NA
"RMSE Train","963.051",NA,NA
"RMSE Test","579.934",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.747",NA,NA
