"Vars","Estimate","stdError","p"
"Intercept","19.048",3.828,"<0.001 *"
"drivingMinus9","-0.542",0.37,"0.148"
"walkingMinus9","0.352",0.255,"0.172"
"transitMinus9","-0.362",0.188,"0.057"
"anomalousWeekend","1.12",9.068,"0.902"
"longWeekend","-7.536",6.092,"0.22"
"weekend","-16.945",3.709,"<0.001 *"
"casesTminus1","-0.053",0.108,"0.624"
"casesTminus2","0.081",0.101,"0.426"
"R2 Adjusted Training","0.483",NA,NA
"R2 Test","0",NA,NA
"RMSE Train","13.631",NA,NA
"RMSE Test","56.567",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.688",NA,NA
