"Vars","Estimate","stdError","p"
"Intercept","10.574",9.036,"0.243"
"drivingMinus9","1.354",0.689,"0.05"
"walkingMinus9","-0.332",0.385,"0.389"
"transitMinus9","-1.046",0.476,"0.029 *"
"drivingMinus10","-1.503",0.757,"0.048 *"
"walkingMinus10","0.561",0.451,"0.215"
"transitMinus10","0.867",0.401,"0.032 *"
"anomalousWeekend","7.148",24.539,"0.771"
"longWeekend","10.7",12.781,"0.403"
"weekend","-33.679",6.969,"<0.001 *"
"casesTminus1","0.423",0.056,"<0.001 *"
"casesTminus2","0.474",0.059,"<0.001 *"
"R2 Adjusted Training","0.73",NA,NA
"R2 Test","0.757",NA,NA
"RMSE Train","43.865",NA,NA
"RMSE Test","215.768",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.238",NA,NA
