"Vars","Estimate","stdError","p"
"Intercept","17.61",21.185,"0.407"
"drivingMinus9","1.021",1.423,"0.474"
"walkingMinus9","1",0.689,"0.148"
"transitMinus9","-1.339",1.908,"0.484"
"drivingMinus10","-1.916",1.487,"0.199"
"walkingMinus10","-0.287",0.714,"0.688"
"transitMinus10","1.504",1.861,"0.42"
"anomalousWeekend","1.386",52.789,"0.979"
"longWeekend","-23.921",26.818,"0.373"
"weekend","-40.839",13.719,"0.003 *"
"casesTminus1","0.588",0.063,"<0.001 *"
"casesTminus2","0.434",0.066,"<0.001 *"
"R2 Adjusted Training","0.839",NA,NA
"R2 Test","0.379",NA,NA
"RMSE Train","92.124",NA,NA
"RMSE Test","507.839",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.238",NA,NA
