"Vars","Estimate","stdError","p"
"Intercept","351.831",76.543,"<0.001 *"
"drivingMinus9","0.944",1.661,"0.572"
"walkingMinus9","0.221",1.135,"0.846"
"transitMinus9","-2.843",1.922,"0.144"
"drivingMinus10","-1.718",1.808,"0.345"
"walkingMinus10","0.346",1.103,"0.755"
"transitMinus10","-0.392",1.834,"0.831"
"anomalousWeekend","13.462",41.812,"0.749"
"longWeekend","-56.064",37.673,"0.142"
"weekend","-22.538",20.774,"0.282"
"casesTminus1","0.192",0.12,"0.115"
"casesTminus2","0.13",0.124,"0.299"
"R2 Adjusted Training","0.728",NA,NA
"R2 Test","0.268",NA,NA
"RMSE Train","62.977",NA,NA
"RMSE Test","63.052",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.593",NA,NA
