"Vars","Estimate","stdError","p"
"Intercept","193.663",253.173,"0.446"
"drivingMinus9","-14.908",26.064,"0.569"
"walkingMinus9","18.085",27.505,"0.512"
"transitMinus9","-53.714",37.902,"0.16"
"drivingMinus10","-1.922",26.854,"0.943"
"walkingMinus10","-11.866",29.875,"0.692"
"transitMinus10","55.53",40.251,"0.171"
"anomalousWeekend","-23.065",437.933,"0.958"
"longWeekend","-404.168",302.897,"0.185"
"weekend","-174.59",176.782,"0.326"
"casesTminus1","0.731",0.102,"<0.001 *"
"casesTminus2","0.165",0.11,"0.135"
"R2 Adjusted Training","0.921",NA,NA
"R2 Test","0.003",NA,NA
"RMSE Train","687.995",NA,NA
"RMSE Test","647.141",NA,NA
"RMSPE Train","4.152",NA,NA
"RMSPE Test","1.072",NA,NA
