"Vars","Estimate","stdError","p"
"Intercept","1644.168",345.956,"<0.001 *"
"drivingMinus9","-6.251",24.653,"0.8"
"walkingMinus9","-35.509",29.972,"0.238"
"transitMinus9","-56.075",52.648,"0.288"
"drivingMinus10","-5.088",23.902,"0.832"
"walkingMinus10","-102.644",32.622,"0.002 *"
"transitMinus10","157.08",56.131,"0.006 *"
"R2 Adjusted Training","0.656",NA,NA
"R2 Test","0.156",NA,NA
"RMSE Train","1263.547",NA,NA
"RMSE Test","1819.083",NA,NA
"RMSPE Train","13.372",NA,NA
"RMSPE Test","4.343",NA,NA
