"Vars","Estimate","stdError","p"
"Intercept","326.189",72.048,"<0.001 *"
"drivingMinus14","3.986",2.192,"0.074"
"walkingMinus14","-0.982",1.369,"0.476"
"transitMinus14","-6.27",1.539,"<0.001 *"
"anomalousWeekend","-69.077",43.411,"0.116"
"longWeekend","-5.911",38.065,"0.877"
"weekend","-65.211",23.843,"0.008 *"
"casesTminus1","0.066",0.125,"0.597"
"casesTminus2","0.164",0.118,"0.172"
"R2 Adjusted Training","0.791",NA,NA
"R2 Test","0.044",NA,NA
"RMSE Train","67.159",NA,NA
"RMSE Test","98.626",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.336",NA,NA
