"Vars","Estimate","stdError","p"
"Intercept","264.435",54.341,"<0.001 *"
"drivingMinus14","-1.545",1.646,"0.351"
"walkingMinus14","1.303",0.808,"0.112"
"transitMinus14","-2.099",1.163,"0.075"
"anomalousWeekend","-13.447",38.385,"0.727"
"longWeekend","-33.706",37.328,"0.37"
"weekend","-82.163",22.966,"0.001 *"
"casesTminus1","0.213",0.119,"0.078"
"casesTminus2","0.157",0.119,"0.193"
"R2 Adjusted Training","0.733",NA,NA
"R2 Test","0.545",NA,NA
"RMSE Train","64.366",NA,NA
"RMSE Test","52.093",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.49",NA,NA
