"Vars","Estimate","stdError","p"
"Intercept","522.344",144.337,"0.001 *"
"drivingMinus7","-5.418",6.287,"0.392"
"walkingMinus7","6.484",4.804,"0.181"
"transitMinus7","-5.768",3.292,"0.084"
"anomalousWeekend","-18.398",146.952,"0.901"
"longWeekend","-138.275",135.42,"0.311"
"weekend","-245.064",82.973,"0.004 *"
"casesTminus1","0.248",0.112,"0.031 *"
"casesTminus2","0.329",0.107,"0.003 *"
"R2 Adjusted Training","0.74",NA,NA
"R2 Test","0.003",NA,NA
"RMSE Train","236.021",NA,NA
"RMSE Test","484.384",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.286",NA,NA
