"Vars","Estimate","stdError","p"
"Intercept","69.392",12.382,"<0.001 *"
"drivingMinus7","-1.023",0.474,"0.035 *"
"walkingMinus7","0.917",0.484,"0.063"
"transitMinus7","-0.176",0.273,"0.521"
"anomalousWeekend","2.487",10.018,"0.805"
"longWeekend","-11.202",8.244,"0.179"
"weekend","-24.59",4.495,"<0.001 *"
"casesTminus1","-0.015",0.11,"0.888"
"casesTminus2","0.137",0.113,"0.23"
"R2 Adjusted Training","0.503",NA,NA
"R2 Test","0.072",NA,NA
"RMSE Train","13.878",NA,NA
"RMSE Test","16.054",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.676",NA,NA
