"Vars","Estimate","stdError","p"
"Intercept","84.737",24.658,"0.001 *"
"drivingMinus7","-1.008",0.552,"0.073"
"walkingMinus7","0.451",0.412,"0.278"
"transitMinus7","-0.277",0.438,"0.529"
"anomalousWeekend","13.501",20.88,"0.52"
"longWeekend","-10.7",14.66,"0.468"
"weekend","-25.457",8.621,"0.004 *"
"casesTminus1","0.279",0.118,"0.021 *"
"casesTminus2","0.092",0.137,"0.504"
"R2 Adjusted Training","0.447",NA,NA
"R2 Test","0.034",NA,NA
"RMSE Train","25.833",NA,NA
"RMSE Test","20.188",NA,NA
"RMSPE Train","0.967",NA,NA
"RMSPE Test","0.701",NA,NA
