"Vars","Estimate","stdError","p"
"Intercept","941.539",260.45,"0.001 *"
"drivingMinus7","-20.144",11.284,"0.079"
"walkingMinus7","8.622",6.665,"0.2"
"transitMinus7","-3.851",9.334,"0.681"
"drivingMinus8","6.742",11.522,"0.56"
"walkingMinus8","-5.863",6.531,"0.372"
"transitMinus8","5.931",11.19,"0.598"
"anomalousWeekend","72.065",184.021,"0.697"
"longWeekend","-80.207",175.377,"0.649"
"weekend","-314.419",150.474,"0.04 *"
"casesTminus1","0.706",0.117,"<0.001 *"
"casesTminus2","-0.01",0.121,"0.936"
"R2 Adjusted Training","0.814",NA,NA
"R2 Test","0.018",NA,NA
"RMSE Train","291.641",NA,NA
"RMSE Test","882.932",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","2.168",NA,NA
