"Vars","Estimate","stdError","p"
"Intercept","483.389",254.016,"0.061"
"drivingMinus7","-12.128",14.849,"0.417"
"walkingMinus7","5.332",6.108,"0.386"
"transitMinus7","-3.516",13.006,"0.788"
"drivingMinus8","14.295",13.984,"0.31"
"walkingMinus8","-1.848",4.675,"0.694"
"transitMinus8","-6.383",15.79,"0.687"
"anomalousWeekend","41.471",238.476,"0.862"
"longWeekend","-56.389",217.35,"0.796"
"weekend","-533.412",201.127,"0.01 *"
"casesTminus1","0.211",0.102,"0.043 *"
"casesTminus2","0.571",0.107,"<0.001 *"
"R2 Adjusted Training","0.847",NA,NA
"R2 Test","0.602",NA,NA
"RMSE Train","368.364",NA,NA
"RMSE Test","451.58",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.467",NA,NA
