"Vars","Estimate","stdError","p"
"Intercept","257.173",67.128,"<0.001 *"
"drivingMinus8","0.957",1.291,"0.461"
"walkingMinus8","-0.047",1.031,"0.964"
"transitMinus8","-3.518",1.204,"0.005 *"
"anomalousWeekend","6.57",41.24,"0.874"
"longWeekend","-41.256",38.862,"0.292"
"weekend","-31.688",20.179,"0.121"
"casesTminus1","0.25",0.119,"0.04 *"
"casesTminus2","0.185",0.118,"0.123"
"R2 Adjusted Training","0.705",NA,NA
"R2 Test","0.258",NA,NA
"RMSE Train","65.547",NA,NA
"RMSE Test","74.431",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.677",NA,NA
