"Vars","Estimate","stdError","p"
"Intercept","849.472",1899.333,"0.656"
"drivingMinus8","-11.392",37.78,"0.764"
"walkingMinus8","5.952",33.158,"0.858"
"transitMinus8","4.453",34.285,"0.897"
"anomalousWeekend","-109.03",778.012,"0.889"
"longWeekend","-694.96",765.053,"0.367"
"weekend","-1103.637",474.224,"0.023 *"
"casesTminus1","0.843",0.11,"<0.001 *"
"casesTminus2","0.124",0.138,"0.371"
"R2 Adjusted Training","0.921",NA,NA
"R2 Test","0.016",NA,NA
"RMSE Train","1286.647",NA,NA
"RMSE Test","788.788",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.464",NA,NA
