"Vars","Estimate","stdError","p"
"Intercept","181.96",44.513,"<0.001 *"
"drivingMinus8","0.007",1.186,"0.995"
"walkingMinus8","-0.212",0.733,"0.773"
"transitMinus8","-0.141",0.942,"0.881"
"drivingMinus9","1.715",1.326,"0.201"
"walkingMinus9","-0.681",0.779,"0.386"
"transitMinus9","-2.352",0.911,"0.012 *"
"anomalousWeekend","-20.594",29.329,"0.485"
"longWeekend","0.792",25.953,"0.976"
"weekend","29.135",15.162,"0.059"
"casesTminus1","-0.024",0.123,"0.849"
"casesTminus2","-0.053",0.123,"0.669"
"R2 Adjusted Training","0.407",NA,NA
"R2 Test","0.295",NA,NA
"RMSE Train","43.776",NA,NA
"RMSE Test","75.005",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.453",NA,NA
