"Vars","Estimate","stdError","p"
"Intercept","239.946",43.378,"<0.001 *"
"drivingMinus9","1.22",0.648,"0.063"
"walkingMinus9","0.537",0.594,"0.369"
"transitMinus9","-3.753",0.659,"<0.001 *"
"anomalousWeekend","10.821",20.565,"0.6"
"longWeekend","-25.894",15.793,"0.105"
"weekend","-46.153",10.101,"<0.001 *"
"casesTminus1","0.376",0.102,"<0.001 *"
"casesTminus2","-0.225",0.103,"0.032 *"
"R2 Adjusted Training","0.843",NA,NA
"R2 Test","0.645",NA,NA
"RMSE Train","35.119",NA,NA
"RMSE Test","44.667",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.464",NA,NA
