"Vars","Estimate","stdError","p"
"Intercept","81.19",19.975,"<0.001 *"
"drivingMinus9","-0.74",0.561,"0.192"
"walkingMinus9","-0.025",0.356,"0.944"
"transitMinus9","-0.151",0.339,"0.658"
"drivingMinus10","-0.144",0.563,"0.799"
"walkingMinus10","-0.305",0.317,"0.339"
"transitMinus10","0.747",0.381,"0.054"
"anomalousWeekend","-1.618",9.654,"0.867"
"longWeekend","17.511",9.034,"0.057"
"weekend","-1.605",4.798,"0.739"
"casesTminus1","-0.15",0.121,"0.218"
"casesTminus2","0.219",0.118,"0.067"
"R2 Adjusted Training","0.528",NA,NA
"R2 Test","0.104",NA,NA
"RMSE Train","15.49",NA,NA
"RMSE Test","40.893",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","1.461",NA,NA
